timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,water_temp,setpoint_temp,mode,heater_on
2025-10-03T17:15:42.780508,100,63,43,73,72,74,36,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:43.782232,100,63,43,73,72,74,37,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:44.780674,100,63,43,73,72,74,38,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:45.784509,100,63,43,73,72,74,39,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:46.780831,100,63,43,73,72,74,40,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:47.780906,100,63,43,73,72,74,41,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:48.783535,100,63,43,73,72,74,42,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:49.781572,100,63,43,73,72,74,43,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:50.782380,100,63,43,73,72,74,44,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:51.781582,100,63,43,73,72,74,45,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:52.785060,100,63,43,73,72,74,46,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:53.781135,100,63,43,73,72,74,47,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,72,0,0,36.5,37.0,ST,True
2025-10-03T17:15:54.780403,100,63,43,73,73,74,48,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:15:55.783409,100,63,43,73,73,74,49,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:15:56.780534,100,63,43,73,73,74,50,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:15:57.781309,100,63,43,73,73,74,51,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
2025-10-03T17:15:58.779369,100,63,43,73,73,74,52,8,20,4,1,0,5,0,13,0,17,1,24,193,0,0,169,32,73,0,0,36.5,37.0,ST,True
